Name	Label	Table	Property	Primary key group	Foreign table	Foreign key	Ordinality
identification_method	Identification method	Histological structure identification	Histological structure identification method				5
identification_date	Identification date	Histological structure identification	Event date				6
annotator	Annotator	Histological structure identification	Histological structure identification performer				7
identifier	Identifier	Shape file	Identifier	1			1
geometry_specification_file_format	Geometry specification file format	Shape file	Shape specification file format				2
base64_contents	Base64 contents	Shape file	Base64 file contents				3
name	Name	Plane coordinates reference system	Name	1			1
reference_point	Reference point	Plane coordinates reference system	Coordinate system reference point				2
reference_point_coordinate_1	Reference point coordinate 1	Plane coordinates reference system	Coordinate system reference point 1				3
reference_point_coordinate_2	Reference point coordinate 2	Plane coordinates reference system	Coordinate system reference point 2				4
reference_orientation	Reference orientation	Plane coordinates reference system	Coordinate system orientation specification				5
length_unit	Length unit	Plane coordinates reference system	Coordinate system unit				6
histological_structure	Histological structure	Expression quantification	Subject of quantification		Histological structure	Identifier	1
target	Target	Expression quantification	Chemical species quantified		Chemical species	Identifier	2
quantity	Quantity	Expression quantification	Expression quantity				3
unit	Unit	Expression quantification	Unit				4
quantification_method	Quantification method	Expression quantification	Method of marker quantification				5
discrete_value	Discrete value	Expression quantification	Discrete value				6
discretization_method	Discretization method	Expression quantification	Method of marker discretization				7
identifier	Identifier	Biological marking system	Identifier	1			1
target	Target	Biological marking system	Chemical species		Chemical species	Identifier	2
antibody	Antibody	Biological marking system	Marking antibody				3
marking_mechanism	Marking mechanism	Biological marking system	Mechanism of target marking				4
study	Study	Biological marking system	Biospecimen data measurement study		Specimen measurement study	Name	5
identifier	Identifier	Chemical species	Identifier	1			1
symbol	Symbol	Chemical species	Chemical species symbol				2
name	Name	Chemical species	Name				3
chemical_structure_class	Chemical structure class	Chemical species	Chemical species structure class				4
identifier	Identifier	Cell phenotype	Identifier	1			1
symbol	Symbol	Cell phenotype	Cell phenotype symbol				2
name	Name	Cell phenotype	Name				3
cell_phenotype	Cell phenotype	Cell phenotype criterion	Cell phenotype		Cell phenotype	Identifier	1
marker	Marker	Cell phenotype criterion	Cell phenotype criterion marker		Chemical species	Identifier	2
polarity	Polarity	Cell phenotype criterion	Cell phenotype criterion polarity				3
study	Study	Cell phenotype criterion	Data analysis study		Data analysis study	Name	4
name	Name	Data analysis study	Name	1			1
identifier	Identifier	Feature specification	Identifier	1			1
derivation_method	Derivation method	Feature specification	Feature derivation method				2
study	Study	Feature specification	Data analysis study		Data analysis study	Name	3
feature_specification	Feature specification	Feature specifier	Feature specification	1	Feature specification	Identifier	1
specifier	Specifier	Feature specifier	Specifier				2
ordinality	Ordinality	Feature specifier	Ordinality				3
identifier	Identifier	Quantitative feature value	Identifier	1			1
feature	Feature	Quantitative feature value	Specification of quantified feature		Feature specification	Identifier	2
subject	Subject	Quantitative feature value	Feature subject				3
value	Value	Quantitative feature value	Feature value				4
selection_criterion_1	Selection criterion 1	Two-cohort feature association test	Diagnostic selection criterion		Diagnostic selection criterion	Identifier	1
selection_criterion_2	Selection criterion 2	Two-cohort feature association test	Diagnostic selection criterion		Diagnostic selection criterion	Identifier	2
test	Test	Two-cohort feature association test	Statistical test				3
p_value	p-value	Two-cohort feature association test	Test probability value				4
feature_tested	Feature tested	Two-cohort feature association test	Feature specification		Feature specification	Identifier	5
